품사,Verb,,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
문실-Verb,,,,,,0.01%,0.01%
세은-Verb,,,,,,0.01%,0.01%
쑤-Verb,,,,,,0.01%,0.01%
걸리겠다-Verb,,,,,,0.01%,0.01%
김기-Verb,,,,,,0.01%,0.01%
놀러-Verb,,,,,,0.01%,0.01%
아노-Verb,,,,,,0.01%,0.01%
하지수-Verb,,,,,,0.01%,0.01%
않길-Verb,,,,,,0.01%,0.01%
안은-Verb,,,,,,0.01%,0.01%
지나가던-Verb,,,,,,0.01%,0.01%
김다니-Verb,,,,,,0.01%,0.01%
꺼꺼꺼-Verb,,,,,,0.01%,0.01%
핥-Verb,,,,,,0.01%,0.01%
짓수-Verb,,,,,,0.01%,0.01%
꿈이있어여-Verb,,,,,,0.01%,0.01%
메이러-Verb,,,,,,0.01%,0.01%
박가은-Verb,,,,,,0.01%,0.01%
찌니-Verb,,,,,,0.01%,0.01%
오단-Verb,,,,,,0.01%,0.01%
기다린다-Verb,,,,,,0.01%,0.01%
후리지아-Verb,,,,,,0.01%,0.01%
신하건-Verb,,,,,,0.01%,0.01%
박고련-Verb,,,,,,0.01%,0.01%
차여-Verb,,,,,,0.01%,0.01%
온다-Verb,,,,,,0.01%,0.01%
찬주-Verb,,,,,,0.01%,0.01%
시키자-Verb,,,,,,0.01%,0.01%
세히-Verb,,,,,,0.01%,0.01%
썬-Verb,0.01%,0.01%,,,,,0.01%
채은-Verb,,0.01%,,,,0.01%,0.01%
찾아-Verb,,0.01%,,,,,0.01%
하느-Verb,,0.01%,,,,,0.01%
밝은-Verb,,0.01%,,,,,0.01%
큰-Verb,,0.01%,,,,,0.01%
닮-Verb,,0.01%,,,,,0.01%
뜬-Verb,,0.01%,,,,,0.01%
팜-Verb,0.01%,,0.01%,,,,0.01%
해라-Verb,0.01%,,0.01%,,,,0.01%
따-Verb,,0.01%,0.01%,,,0.01%,0.01%
와-Verb,,0.01%,0.01%,,,0.01%,0.01%
춘-Verb,,,0.01%,,,0.01%,0.01%
짜-Verb,,,0.01%,,,0.01%,0.01%
떠-Verb,0.01%,0.01%,,0.01%,,,0.01%
빌-Verb,0.01%,0.01%,,0.01%,,,0.01%
넘-Verb,0.01%,0.01%,,,,0.01%,0.01%
푸-Verb,0.01%,0.01%,,,,0.01%,0.01%
놔-Verb,0.01%,,,0.01%,,,0.01%
써-Verb,0.01%,,,0.01%,,,0.01%
몰라-Verb,0.01%,,,0.01%,,,0.01%
찐-Verb,,0.01%,0.01%,,,,0.01%
멘-Verb,,0.01%,0.01%,,,,0.01%
나간-Verb,0.01%,0.01%,,,,,0.01%
된다-Verb,0.01%,0.01%,,,,,0.01%
보자-Verb,0.01%,0.01%,,,,,0.01%
다니-Verb,0.01%,0.01%,,,,,0.01%
나를-Verb,0.01%,0.01%,,,,,0.01%
사는-Verb,0.01%,0.01%,,,,,0.01%
올라-Verb,0.01%,0.01%,,,,,0.01%
올-Verb,0.01%,0.01%,,,,,0.01%
바라기-Verb,,0.01%,,0.01%,,,0.01%
가려요-Verb,,0.01%,,,,0.01%,0.01%
하는아-Verb,,0.01%,,,,0.01%,0.01%
바르-Verb,,0.01%,,,,0.01%,0.01%
핍-Verb,,0.01%,,,,0.01%,0.01%
했어-Verb,,0.01%,,,,0.01%,0.01%
김세은-Verb,,0.01%,,,,0.01%,0.01%
춰-Verb,,,0.01%,,,,0.01%
선안-Verb,,,0.01%,,,,0.01%
되고싶은-Verb,,,0.01%,,,,0.01%
새울-Verb,,,0.01%,,,,0.01%
막구-Verb,,,0.01%,,,,0.01%
갈아탐-Verb,,,0.01%,,,,0.01%
대-Verb,,,0.01%,,,,0.01%
쌌어-Verb,,,0.01%,,,,0.01%
온군-Verb,,,0.01%,,,,0.01%
사는까-Verb,,,0.01%,,,,0.01%
개개구구-Verb,,,0.01%,,,,0.01%
재세-Verb,,,0.01%,,,,0.01%
뚫고-Verb,,,0.01%,,,,0.01%
몰-Verb,,,0.01%,,,,0.01%
먹소-Verb,,,0.01%,,,,0.01%
몰라요-Verb,,,0.01%,,,,0.01%
갤-Verb,,,0.01%,,,,0.01%
싼-Verb,,,0.01%,,,,0.01%
개고시-Verb,,,0.01%,,,,0.01%
씁-Verb,,,0.01%,,,,0.01%
왔어요-Verb,,,0.01%,,,,0.01%
나르-Verb,,0.01%,0.01%,,,,0.01%
달려라-Verb,,0.01%,0.01%,,,,0.01%
난디-Verb,,,,0.01%,,,0.01%
한다-Verb,,,,0.01%,,,0.01%
푸하하-Verb,,,,0.01%,,,0.01%
이다하다-Verb,,,,0.01%,,,0.01%
해요-Verb,,,,0.01%,,,0.01%
쌀세-Verb,,,,0.01%,,,0.01%
가누구-Verb,,,,0.01%,,,0.01%
이셔-Verb,,,,0.01%,,,0.01%
하면-Verb,,,,0.01%,,,0.01%
인실-Verb,,,,0.01%,,,0.01%
밀노-Verb,,,,0.01%,,,0.01%
그리는-Verb,,,,0.01%,,,0.01%
봤나-Verb,,,,0.01%,,,0.01%
잇-Verb,,,,0.01%,,,0.01%
카니안-Verb,,,,0.01%,,,0.01%
깐다-Verb,,,,0.01%,,,0.01%
어리-Verb,,,,0.01%,,,0.01%
버리-Verb,,,,0.01%,,,0.01%
돌마-Verb,,,,0.01%,,,0.01%
자마-Verb,,,,0.01%,,,0.01%
나는나-Verb,,,,0.01%,,,0.01%
잘라-Verb,,,,0.01%,,,0.01%
미우-Verb,,,,0.01%,,,0.01%
잠자는-Verb,,,,0.01%,,,0.01%
눕다-Verb,,,,0.01%,,,0.01%
헐-Verb,,,,0.01%,,,0.01%
뺀질-Verb,,,,0.01%,,,0.01%
내다-Verb,,,,0.01%,,,0.01%
걸어라-Verb,,,,0.01%,,,0.01%
쏘야-Verb,,,,0.01%,,,0.01%
아는-Verb,,,,0.01%,,,0.01%
줘-Verb,,,,0.01%,,,0.01%
댄-Verb,,,,0.01%,,,0.01%
마니-Verb,,,,0.01%,,,0.01%
댄지-Verb,,,,0.01%,,,0.01%
마세-Verb,,,,0.01%,,,0.01%
돋을-Verb,,,,0.01%,,,0.01%
내려요-Verb,,,,0.01%,,,0.01%
꾸까-Verb,,,,0.01%,,,0.01%
하구라-Verb,,,,0.01%,,,0.01%
반짝이-Verb,,,,0.01%,,,0.01%
비기-Verb,,,,0.01%,,,0.01%
되어줄게-Verb,,,,0.01%,,,0.01%
만지히-Verb,,,,0.01%,,,0.01%
설하주-Verb,,,,0.01%,,,0.01%
찌우-Verb,,,,0.01%,,,0.01%
숨니-Verb,,,,0.01%,,,0.01%
봅-Verb,,,,0.01%,,,0.01%
할수있다-Verb,,,,0.01%,,,0.01%
먹구-Verb,,,,0.01%,,,0.01%
믿었기에-Verb,,,,0.01%,,,0.01%
끝내자-Verb,,,,0.01%,,,0.01%
숨쉬는한-Verb,,,,0.01%,,,0.01%
담고싶다-Verb,,,,0.01%,,,0.01%
해야하는-Verb,,,,0.01%,,,0.01%
찾아서-Verb,,,,0.01%,,,0.01%
보는-Verb,,,,0.01%,,,0.01%
채안-Verb,,,,0.01%,,,0.01%
채오-Verb,,,,0.01%,,,0.01%
구른다-Verb,,,,0.01%,,,0.01%
이끌-Verb,,,,0.01%,,,0.01%
이다은-Verb,,,,0.01%,,,0.01%
잃-Verb,,,,0.01%,,,0.01%
탄-Verb,,0.01%,,0.01%,,,0.01%
이니-Verb,,0.01%,,0.01%,,,0.01%
돼-Verb,,0.01%,,0.01%,,,0.01%
싸-Verb,,0.01%,,0.01%,,,0.01%
까까-Verb,,0.01%,,0.01%,,,0.01%
심은-Verb,,0.01%,,,,,0.01%
몰라도-Verb,,0.01%,,,,,0.01%
피히히-Verb,,0.01%,,,,,0.01%
보란-Verb,,0.01%,,,,,0.01%
드리-Verb,,0.01%,,,,,0.01%
사계디-Verb,,0.01%,,,,,0.01%
빠진-Verb,,0.01%,,,,,0.01%
단단-Verb,,0.01%,,,,,0.01%
셉-Verb,,0.01%,,,,,0.01%
감사하는-Verb,,0.01%,,,,,0.01%
가이-Verb,,0.01%,,,,,0.01%
자라지리지-Verb,,0.01%,,,,,0.01%
후리은-Verb,,0.01%,,,,,0.01%
자련-Verb,,0.01%,,,,,0.01%
오고-Verb,,0.01%,,,,,0.01%
나다나엘-Verb,,0.01%,,,,,0.01%
모르-Verb,,0.01%,,,,,0.01%
잘나가-Verb,,0.01%,,,,,0.01%
하고파-Verb,,0.01%,,,,,0.01%
배도아-Verb,,0.01%,,,,,0.01%
하실-Verb,,0.01%,,,,,0.01%
깨기-Verb,,0.01%,,,,,0.01%
할-Verb,,0.01%,,,,,0.01%
단러-Verb,,0.01%,,,,,0.01%
해도-Verb,,0.01%,,,,,0.01%
쏘디-Verb,,0.01%,,,,,0.01%
들린-Verb,,0.01%,,,,,0.01%
떠나-Verb,,0.01%,,,,,0.01%
흐르는-Verb,,0.01%,,,,,0.01%
떠어-Verb,,0.01%,,,,,0.01%
낀-Verb,,0.01%,,,,,0.01%
쏘세지-Verb,,0.01%,,,,,0.01%
클라-Verb,,0.01%,,,,,0.01%
젖은-Verb,,0.01%,,,,,0.01%
성나-Verb,,0.01%,,,,,0.01%
져-Verb,,0.01%,,,,,0.01%
풀리는-Verb,,0.01%,,,,,0.01%
깨문-Verb,,0.01%,,,,,0.01%
하고-Verb,,0.01%,,,,,0.01%
주세요-Verb,,0.01%,,,,,0.01%
비추는-Verb,,0.01%,,,,,0.01%
주용-Verb,,0.01%,,,,,0.01%
보까-Verb,,0.01%,,,,,0.01%
사니-Verb,,0.01%,,,,,0.01%
하자아-Verb,,0.01%,,,,,0.01%
벗고-Verb,,0.01%,,,,,0.01%
몰랑-Verb,,0.01%,,,,,0.01%
줘라-Verb,,0.01%,,,,,0.01%
할까-Verb,,0.01%,,,,,0.01%
마냐-Verb,,0.01%,,,,,0.01%
미루-Verb,,0.01%,,,,,0.01%
베수-Verb,,0.01%,,,,,0.01%
해봐-Verb,,0.01%,,,,,0.01%
나군-Verb,,0.01%,,,,,0.01%
까리-Verb,,0.01%,,,,,0.01%
마셔-Verb,,0.01%,,,,,0.01%
허인아-Verb,,0.01%,,,,,0.01%
지나간다-Verb,,0.01%,,,,,0.01%
이라하오-Verb,,0.01%,,,,,0.01%
지르-Verb,,0.01%,,,,,0.01%
꿈이있는-Verb,,0.01%,,,,,0.01%
벤와-Verb,,0.01%,,,,,0.01%
캘러-Verb,,0.01%,,,,,0.01%
질러-Verb,,0.01%,,,,,0.01%
였어-Verb,,0.01%,,,,,0.01%
꺼-Verb,,0.01%,,,,,0.01%
클가나니-Verb,,0.01%,,,,,0.01%
노은-Verb,,0.01%,,,,,0.01%
멜리-Verb,,0.01%,,,,,0.01%
짠-Verb,,0.01%,,,,,0.01%
멤-Verb,,0.01%,,,,,0.01%
긋-Verb,,0.01%,,,,,0.01%
오다-Verb,,0.01%,,,,,0.01%
맞추면-Verb,,0.01%,,,,,0.01%
이야이야-Verb,,0.01%,,,,,0.01%
먹-Verb,,0.01%,,,,,0.01%
놈시러-Verb,,0.01%,,,,,0.01%
찌용-Verb,,0.01%,,,,,0.01%
오르-Verb,,0.01%,,,,,0.01%
씹-Verb,,0.01%,,,,,0.01%
